"subjectid" "activity" "measurement" "mean"
"1" 1 "WALKING" "bodyacc" -0.105660929132044
"2" 1 "WALKING" "bodyaccjerk" -0.140624954697746
"3" 1 "WALKING" "bodyaccjerkmag" -0.107950279547053
"4" 1 "WALKING" "bodyaccmag" -0.220828964915
"5" 1 "WALKING" "bodybodyaccjerkmag" -0.0803059015182105
"6" 1 "WALKING" "bodybodygyrojerkmag" -0.350455252784211
"7" 1 "WALKING" "bodybodygyromag" -0.260135261440526
"8" 1 "WALKING" "bodygyro" -0.215301746360544
"9" 1 "WALKING" "bodygyrojerk" -0.182019526806667
"10" 1 "WALKING" "bodygyrojerkmag" -0.312014278989474
"11" 1 "WALKING" "bodygyromag" -0.173978958531579
"12" 1 "WALKING" "gravityacc" -0.385112918982456
"13" 1 "WALKING" "gravityaccmag" -0.178329911094211
"14" 1 "WALKING_UPSTAIRS" "bodyacc" -0.125054276780833
"15" 1 "WALKING_UPSTAIRS" "bodyaccjerk" -0.383744485928616
"16" 1 "WALKING_UPSTAIRS" "bodyaccjerkmag" -0.472747534150943
"17" 1 "WALKING_UPSTAIRS" "bodyaccmag" -0.305888651551887
"18" 1 "WALKING_UPSTAIRS" "bodybodyaccjerkmag" -0.487856008113208
"19" 1 "WALKING_UPSTAIRS" "bodybodygyrojerkmag" -0.664297801792453
"20" 1 "WALKING_UPSTAIRS" "bodybodygyromag" -0.254473487830189
"21" 1 "WALKING_UPSTAIRS" "bodygyro" -0.279745049980031
"22" 1 "WALKING_UPSTAIRS" "bodygyrojerk" -0.337984846034811
"23" 1 "WALKING_UPSTAIRS" "bodygyrojerkmag" -0.621717954716981
"24" 1 "WALKING_UPSTAIRS" "bodygyromag" -0.137677454011321
"25" 1 "WALKING_UPSTAIRS" "gravityacc" -0.394300146342767
"26" 1 "WALKING_UPSTAIRS" "gravityaccmag" -0.227449279990566
"27" 1 "WALKING_DOWNSTAIRS" "bodyacc" -0.052748947469165
"28" 1 "WALKING_DOWNSTAIRS" "bodyaccjerk" -0.121173468481582
"29" 1 "WALKING_DOWNSTAIRS" "bodyaccjerkmag" -0.0576176002530612
"30" 1 "WALKING_DOWNSTAIRS" "bodyaccmag" -0.0107182811830612
